Assistive Technology,DOI,ID,Title,Guidelines for Developers,Page Nos,Chart Type,Sensory Modality,Descriptions,Paper Reference (Quotes),Information Granularity,Keywords,Contribution Type,Venue,Parents Pertain,Students Pertain,Teachers Pertain,Perception Channel
None,https://doi.org/10.1007/978-3-319-94274-2_24,#47,A user study to evaluate tactile charts with blind and visually impaired people,Tactile bar charts should use inner helplines compared to outer  helplines because it results to low error rates ,182,NONE,None,Users preference on the structure of bar charts that can help them interprete data acurrately vary. The study presents empirical findings on the low error rate suggests they were able to locate data points accurately most of the time.,"Table 1: Comparision1: Bar Charts: S3: inner helplines: correct answers = 74.71%, Error rate = 4.11%",,None,None,None,,,,
None,https://doi.org/10.1007/978-3-319-94274-2_24,#48,A user study to evaluate tactile charts with blind and visually impaired people,Tactile line charts should use solid grid lines compared to dotted grid lines because solid grid lines leads to more accurate data interpretation and low error rates ,"182,183",NONE,None,Users will like to quickly and accurately locate points in line charts. Lines can either be dotted or solid. This study found that there is a strong tendency for users to use solid grid lines in line charts compared with dotted grid lines to get the accurate data interpretation.,"Table 1: Comparision2: Line Charts L4: dotted helplines: correct answers = 70.79%, Error rate = 2.29%. L5:solid helplines: correct answers = 77.98%, Error rate = 0.87%. Solid gridlines were rated much better than dotted gridlines. In addition, participants gave 13% more correct answers when reading out values in the solid grid condition. Over all questions, they gave 7% more correct answers with the solid grid. While 30 participants fully agree with the statement ""The grid lines are highly distinguishable"" in the solid grid condition (Page 182)...Furthermore, results show a strong tendency towards the use of solid grid lines in line charts compared with dotted grid lines(Page 183).",,None,None,None,,,,
None,https://doi.org/10.1007/978-3-319-94274-2_24,#49,A user study to evaluate tactile charts with blind and visually impaired people,Tactile scatter plots should use gridlines compaired to plain background because solid grid lines leads to more accurate data interpretation,"182,183",NONE,None,Users will like to be able to interact in scatter plots to locate data points accurately. This guideline recommends that visualization creators should add grid lines to help readers to more accurately identify the points on the graph and read out the exact values.,"Table 1: Comparision 3: Scatter Plots P2:no grid: correct answers: 50.63%, Error rate = 4.38%. P3 incised grid: correct answers: 72.71%, Error rate: 5.98% (Page 182)...Grid lines leads to more correct answers and a much lower error rate when reading out precise values from scatter plots (Page 183)

",,None,None,None,,,,
None,https://doi.org/10.1007/978-3-319-94274-2_24,#50,A user study to evaluate tactile charts with blind and visually impaired people,Tactile pie charts should use contours with outer labels compared to texture patterns with legends for correct interpretation of data ,208,NONE,None,"Visualization users are likely to encounter two types of pie charts (Textured and Contour). This guideline recommends that texture is not preferred in pie charts because it can be difficult to read the data. Hence, contoured segments are easier to read and understand (at a low error rate)","Table 1: Comparision 4: Pie Charts K2:texture: correct answers: 75.08%, Error rate = 14.60%. K3 contour: correct answers: 80.22%, Error rate: 3.61% (Page 182)...In average, participants rather preferred pie charts with contoured segments instead of using textures...Finally, pie charts with contours and labels are more readable than with the use of texture. Addin a scale on the outer circle leads to a lower error rates in pie charts (Page 183).",,None,None,None,,,,
None,https://doi.org/10.18974/tvrsj.23.1_13,#51,Textures suitable for tactile bar charts on capsule paper.,"Tactile bar charts should use black, dark gray colors and 4-dotted patterns in millimeters: 1-2, 1.5-2, 1.5-3 and 2-3 because they have shorter exploration time ",6,NONE,None,"Bar charts have foreground color and dotted property that will conflict with the background color property. This will in turn affect how qucikly and accurately data is interpreted. This guideline recommends that black and dark gray with dot patterns of 1-2, 1.5-2, 1.5-3 and 2-3 be used because they have shorter exploration times and easily distinguishes between background, foreground and height propeties ","In the task of distinguishing the bars from the background (Experiment 1), black and dark gray colors and four dot patterns of 1-2, 1.5-2, 1.5-3 and 2-3 needed short exploring times and gained high ratings. It means that these colors and dot patterns provided distinct height and texture from the background when they were touched alternately.",,None,None,None,,,,
None,https://doi.org/10.18974/tvrsj.23.1_13,#52,Textures suitable for tactile bar charts on capsule paper.,Tactile bar charts should not use white and pale gray colors and the dot patterns of 4mm dot pitch size because they have longer exploration time ,6,NONE,None,"Bar charts have foreground color and dotted property that will conflict with the background color property. This will in turn affect how qucikly and accurately data is interpreted. This guideline recommends that visualization creators avoid using gray and white (no fill) with dot patterns of 4mm. Because they have longer exploration times  and are indistinguishable between background, foreground and height propeties ","White and pale gray colors and the dot patterns with a dot pitch of 4mm needed long exploring times and gained lower ratings. Especially, white (no fill) was identical to the background and could not be distinguished from it with the texture solely",,None,None,None,,,,
None,https://doi.org/10.1145/3056540.3064955,#53,Analysis of tactile chart design,Tactile bar and line charts limit the number of ticks and locate tick marks outside charts to avoid cluttering ,"2,4",NONE,None,"Barchart ticks are pointers to exact data values of bars. Too much of the ticks can lead to bars cluttered around the wrong tick marks and users will misinterprete data. This guideline suggests that few number of ticks should be used for presenting tactile bar charts. In addition, the ticks should be located outside the chart for accurate data interpretation.",Tick marks are often used on metric scales as reference to precise values on the axis.They can be used to separate categorical values. To avoid cluttering it is better to limit the number of tick marks on each axis and to position tick marks on the outer side of the axis...Labels in the chart area should be used carefully because they can cause cluttering. ,,None,None,None,,,,
None,https://doi.org/10.1145/3056540.3064955,#54,Analysis of tactile chart design,Tactile charts where necessary should use dotted/dashed gridlines to replace solid gridlines and incised in place of raised gridlines for readability and to avoid cluttering,3,NONE,None,"Gridlines are not suitable for most types of visualizations. For example, in vertical bars, it makes it difficult to trace  the actual data value. This guideline suggests that dotted, dashed or incised grid style be adopted to make it easier for tactile users to understand","Grid lines are often used in tactile chart design which indicates their importance. However, they are not suitable for all chart types because they intersect chart
elements, for example in the case of scatter plots. Grid lines are frequently used orthogonal to a metric scale. Beyond that, over the half of bar charts contain horizontal grid lines to clarify specific values. In bar charts they do not cause
much cluttering. It might be a relation between the size of chart elements and usefulness of grid lines. On average, there are 7.8 horizontal grid lines in one chart which is very similar to the number of tick marks on the y axis. That is, in most of the analyzed charts one grid line per major unit of orthogonal axis with a starting point on a tick mark was used. Minor units are rarely used. One example with vertical bars displays the grid lines only within the bars itself [9]. This shows the tradeo between the use of grid lines for reading values and avoiding cluttering by combining grid lines and the texture of bars. The reader can count the linesdirectly on the object of interest - without the need of switching focus to the corresponding axis. A disadvantage of this approach is that the user cannot trace a specific grid line for finding all elements with the target value. Most grid lines are designed with solid line style. Because grid lines have to be less significant than all other elements in the graphic [6], we suggest to use dotted or dashed lines. An alternative to raised grid lines could be the usage of an incised grid like Barth [2] proposed",,None,None,None,,,,
None,https://doi.org/10.1145/3056540.3064955,#55,Analysis of tactile chart design,Tactile barcharts should be filled with color to make it easier for users to recognize compared to empty bars without color,"3,4",NONE,None,Tactile barcharts are difficult for users to recognize and misinterprete. This guideline recommends that all tactile shapes be filled to avoid cluttering,"We believe it is easier to recognize filled shapes. Furthermore, empty bars can cause cluttering. As a consequence, it is difficult to decide whether the finger lies between two bars or inside tha bar without scanning the whole bar from top to edge...Bars should be filled and separated, even if there is no need for referencing the bars in a legend. ",,None,None,None,,,,
None,https://doi.org/10.1145/3056540.3064955,#56,Analysis of tactile chart design,To make tactile pie charts readable labels should be added to all sections or few sections should have the texture-filled property,3,NONE,None,It can be difficult for users to read and reference textures in a pie. The paper suggest that textures and labels should be used in few sections of the pie chart to help users understand the meaning of individual sections.,"It seems difficult  to read and reference textures in a pie chart A solution is to add labels which help to show the meaning of sections. In addition, textures are only suitable for a small number of pie sections.",,None,None,None,,,,
None,https://doi.org/10.1145/3056540.3064955,#57,Analysis of tactile chart design,Visualization legends should be placed on the top of the chart to make them readable and discoverable,3,NONE,None,Blind people will not see legends is placed at the bottom of the visualization The paper recommends that legends be placed on top of the visualization because blind people scan things from left to right. This will make the legend quickly visible and easy to discover and interprete data.,"Blind people scan graphics sequentially, mostly from top to down and from left to right. That is why the position of the legend is a relevant aspect in chart design. Almost charts show the legend on the same sheet, only one chart on a second sheet...The legend can be discovered by the reader more easily if it is placed on the top of the chart. Reading the legend before reading the chart has the advantage that the reader knows how many textures are used in the chart and what they stand stand for. This helps understanding the chart’s content.",,None,None,None,,,,
None,https://doi.org/10.1145/3056540.3064955,#58,Analysis of tactile chart design,Tactile bar charts on the average be around 8.5 bars for visibility,"3,4",NONE,None,Tactile charts have less space to display data compared to the visual representation. Too many data elements will suggest the need to have many bars on a bar chart.  This guideline rcommend visualization creators to work around the average of 8.5 bars for visibility purposes,"On average, bar charts consist of 8.5 bars while 87.5 % add whitespace between the bars. On the one hand, it really depends on the specific chart type how many data elements can be displayed in a chart. On the other hand, tactile chart elements
are restricted in size, it requires more space to display the same data on tactile charts than on visual charts...In average, around 8.5 bars per chart are suitable. ",,None,None,None,,,,
None,https://doi.org/10.1145/3056540.3064955,#59,Analysis of tactile chart design,Tactile line charts should on the average have 1.31 curves for visibility and not more than two lines for traceability and readability,3,NONE,None,Tracing more than two lines on a line chart can be difficult for users of tactile charts. It can be hard to keep track of all of the lines and to see how they are related to each other. This guideline suggest a minimum of 1.31 curves to make it easy for users to trace and read accurately,"In contrast, line charts have 1.31 curves on average. Tracing more than two lines seems to be difficult.",,None,None,None,,,,
None,https://doi.org/10.1145/3056540.3064955,#60,Analysis of tactile chart design,Scatter plots should have on the average  be less than 33 points for visibility,3,NONE,None,Tactile charts have less space to display data compared to the visual representation. This guideline recommends  scatter plots on the average should be below 33 points for visibility and to prevent overlapping,"The scatter plots contain on average 33 points whereby they overlap each other in two of the three charts. On the one hand, it really depends on the specific chart type how many data elements can be displayed in a chart. On the other hand, tactile chart elements are restricted in size, it requires more space to display the same data on tactile charts than on visual charts.",,None,None,None,,,,
None,https://doi.org/10.1145/3056540.3064955,#61,Analysis of tactile chart design,Tactile charts should add a horizontal title on the top left margin. This should preceed data stories with axes titles for accurate interpretation of a mental model,"3,4",NONE,None,Tactile users will always like to read titles first. This guideline recommends that they should first be presented with titles horizontally and on the left margin so they are read out first.,It is known that most blind readers search for the title first to get an idea about chart’s content [3]...To understand the underlying data of a chart an axis title is required. The reader should be able to find the title and assign it to the depending axis for a correct interpretation...Bar charts should always contain a horizontal braille title above the chart on the left margin.,,None,None,None,,,,
None,https://doi.org/10.1145/3056540.3064955,#62,Analysis of tactile chart design,Tactile vertical bars should use solid line for both axes for users to understand the data interpretations quickly,4,NONE,None,Users are able to understand data presented in vertical bars. This guideline recommends vertical barcharts use solid line for both axes to enhance accurate data interpretation.,"Vertical bars are more familiar to the reader. It is required to display both axes as
a solid style. Arrows at the end of the axes can be omitted.",,None,None,None,,,,
None,https://doi.org/10.1145/3056540.3064955,#63,Analysis of tactile chart design,Tactile bar charts' tick marks on axes should be placed on the outer part or both sides for readability,4,NONE,None,Readers of tactile bar charts can determine the position and number of bars by the tick marks on the categorical axis. This guideline recommends that tick marks be located outside the chart or on both sides to locate data values accurately. ,"Tick marks on the categorical axis are helpful to notice the position and number
of bars by scanning the axis. Tick marks should be placedon the outer side of the axis or on both sides.",,None,None,None,,,,
None,https://doi.org/10.1145/3056540.3064955,#64,Analysis of tactile chart design,Tactile bar charts should add title to axes scales for readers to interprete data accurately,4,NONE,None,Readers of tactile bar charts can determine the position and number of bars by the tick marks on the categorical axis. This guideline recommends that tick marks representing axes scales be labelled to help readers accurately interprete data points.,"In contrast, it is required to add a title to the metric axis as well as
to label the units...The meaning of each bar should be made clear by labeling the categorical axis.",,None,None,None,,,,
None,https://doi.org/10.1145/3056540.3064955,#65,Analysis of tactile chart design,Tactile bar charts should show legends on top of visualizations for clarity,4,NONE,None,"Users might likely need legends in interpreting visualization. The paper recommends that if creators include them, they should be placed on top of the visualization. ","If a legend is needed, it should be placed on the top of the chart.",,None,None,None,,,,
None,https://doi.org/10.1145/2700648.2809868,#66,The tactile graphics helper: Providing audio clarification for tactile graphics using machine vision,"Audios visualizations should include controls to allow time to process information through play, pause, back and forward controls respectively","6,8",NONE,None,"Users of audio visualizations might encounter distractions during interaction. Such distraction could come from noisy environments. This guideline suggests providing audio controls: pause, play, speed ratio to be able to iterate through audio stories and make accurate interpretation of data.","All of the participants disliked TGH’s reliance on audio/voice input and output. The voice input created reliability problems in noisy settings. Participants wanted to have control over the voice output speed, and the ability to pause output to process information...The system should also allow greater control over the audio output.",,None,None,None,,,,
None,https://doi.org/10.1145/2700648.2809868,#67,The tactile graphics helper: Providing audio clarification for tactile graphics using machine vision,Multi-modal visualizations will help users to personalize information and make meaning of information at their own pace,8,NONE,None,"Users abilities and multimodal preferences vary. Personalization will require understanding these preferences. For students with low tactile acuity, visualization can be personalized by increasing the size of the text and images, using high contrast colors, and adding tactile features such as bumps or textures. This will make individual user personalize the rate at which they seek to understand information presented","Finally, different modes of operation or personalization would allow teachers and students to decide the level
of detail and type of information TGH provides, which may
depend on the abilities of the student (e.g., low or high tactile acuity), the educational goal of the graphic, and context
(e.g., homework versus test)",,None,None,None,,,,
None,https://doi.org/10.1145/1857920.1857925,#68,Multimodal presentation of two-dimensional charts: An investigation using open office XML and microsoft excel,Tactile audio charts should provide significant information about visualizations to minimize exhaustive search,45,NONE,None,"Users seek to understand data element as quick as possible. This guideline recommends that users should be able to see an overview of the complex representation, and then be able to drill down into the details as needed. For example, providing information about each data element e.g. title is not sufficient.","Summary information about a chart (e.g., its title) is important to enable the
user to secure salient information about a complex representation without
the need to perform an exhaustive navigation",,None,None,None,,,,
None,https://doi.org/10.1145/1857920.1857925,#69,Multimodal presentation of two-dimensional charts: An investigation using open office XML and microsoft excel,Multimodal interactions should be provided to users of tactile charts to vary the mode of interaction and accomplish related tasks quickly,46,NONE,None,Tactile chart users' preferences changes with tasks they are expected to complete. This guideline recommends providing them with multiple modes for interacting with the charts will make them accomplish tasks quickly,"The user should be able to affect the presentation modality depending on the
specific task he/she is trying to accomplish",,None,None,None,,,,
None,https://doi.org/10.1145/1857920.1857925,#70,Multimodal presentation of two-dimensional charts: An investigation using open office XML and microsoft excel,"To make tactile charts easy to read, visualization narratives should be presented in the order of hierarchy of how visualization elements are arranged",46,NONE,None,Users will need to understand visualizations easily while navigating. This guideline recommends a structured and hierarchical narrative of data and visualization elements will make it easier to understand,"The system should provide a structural hierarchical view for the chart (e.g.,
chart title, x-axis and y-axis titles in charts). This makes accessing the information about the navigated chart easier for the user.",,None,None,None,,,,
None,https://doi.org/10.1145/1857920.1857925,#71,Multimodal presentation of two-dimensional charts: An investigation using open office XML and microsoft excel,Tactile audio charts should provide access to basic values that users can easily access to understand visualizations,46,NONE,None,"Users will like to be able to access basic values from visualizations without too much cognitive effort. This guideline recommends providing the users with these information in a way that they can easily understand. For example, the user can quickly access the minimum and maximum values in a chart by clicking on the respective buttons located in the toolbar.","Allow the user to quickly access common values usually needed when the user navigates charts (e.g., minimum, maximum). This reduces the presentation time needed, especially if the user is looking only for these specific values in the chart.",,None,None,None,,,,
None,https://doi.org/10.1145/1857920.1857925,#72,Multimodal presentation of two-dimensional charts: An investigation using open office XML and microsoft excel,Tactile audio visualizations should provide users with controls as pause/play to make it easier to understand these visualizations,46,NONE,None,Users will like to understand tactile audio visualizations at their own pace. This guideline recommends that users are given access to audio controls to control the rate of presentation and to create understanding of visualizations ,"Timing and pauses are important aspects of the presentation and should be customizable (e.g., the introduction of short pauses during the guided presentation significantly enhanced understanding of the chart).",,None,None,None,,,,
None,https://doi.org/10.1145/1857920.1857925,#73,Multimodal presentation of two-dimensional charts: An investigation using open office XML and microsoft excel,Increasing spaces between elements in tactile charts  makes audio narrative easy to understand,46,NONE,None,Spacing tactile charts will allow time for presenting audio narratives on one element before moving on to the next element,"Scale is another important aspect to take into consideration when developing a haptic presentation (e.g., increasing the spacing among contiguous points in the haptic space greatly enhanced the presentation).",,None,None,None,,,,
None,https://doi.org/10.1145/1857920.1857925,#74,Multimodal presentation of two-dimensional charts: An investigation using open office XML and microsoft excel,"To make data interpretation easier, visualization charts should be scaled to fit the haptic space",46,NONE,None,Users would like to maximize their interaction with charts. The paper proposes that charts should be scaled to fill the haptic space for users to interpret data correctly,"The chart being presented should be scaled to cover the whole haptic space
for a better sensory experience during the presentation.",,None,None,None,,,,
None,https://doi.org/10.1145/1857920.1857925,#75,Multimodal presentation of two-dimensional charts: An investigation using open office XML and microsoft excel,Tactile audio charts should provide cues that will help users interact within the boundary of the visualization ,46,NONE,None,"Tactile users will like to know when they navigate around or outside data borders. This guideline recommends providing them with audio cues that will inform them for every navigation. For example, a sound effect or music could be used to indicate when the user has moved from one area of the chart to another. ","Audio cues provide effective mechanisms for communicating events associated with the access of distinct areas of a chart (e.g., identify slices in a pie chart); stiff forces (instead of, e.g., vibrations) are effective in imposing boundaries of regions of the chart",,None,None,None,,,,
None,https://doi.org/10.1145/1368044.1368053,#76,A syntactic analysis of accessibility to a corpus of statistical graphs,Users should first and foresmost be communicated with the type of graph to create a mental model,6,NONE,None,"The type of visualization is of utmost importance when trying to improve one's ability to create a mental model before interacting with it. This guideline proposes that the type of visualization should be communicated first. This will allow the reader to correctly encode the mental model of the graph, and understand its data representations.","In several experiments and focus groups, an important finding is that the type of target graph (line, column, histogram, etc.) is of utmost importance and should be communicated first to allow a graph’s correct mental encoding from the beginning [20, 6].",,None,None,None,,,,
None,https://doi.org/10.1145/1124772.1124941,#77,Feeling what you hear: Tactile feedback for navigation of audio graphs,Tactile systems should provide navigational cues to be able to locate data elements quickly,6,NONE,None,"Tactile users will want to quickly access chart resources such as legends, axes, titles and related others. This guideline recommends that these resources should be discoverable to help users navigate quickly and easily. ","The system should allow the user to quickly orient  themselves within the workspace. Resources that can be used to ground further exploration, such as axes and legends should be easily obtainable and unambiguous. The height of the tactile relief is important as a filtering mechanism to allow resources to be located quickly 
and easily.",,None,None,None,,,,
None,https://doi.org/10.1145/1124772.1124941,#78,Feeling what you hear: Tactile feedback for navigation of audio graphs,Braille or raised paper diagrams should be provided as alternatives to mouse to intepret data accurately,6,NONE,None,Most visually impaired users are inexperienced in using mouse to navigate tactile charts. This guideline recommends providing keyboard and braille navigation techniques with raised papers to be able to navigate the tactile charts with two hands and interprete data quickly.,"The use of a mouse to explore the graph was not recommended, as the vast majority of visually impaired people have no experience with a mouse at all. The 
tactile feedback was too limited in size and resolution to provide sufficient contextual information to allow the user to explore the graph. An alternative means of input therefore had to be used. A common strategy with other accessibility aids was to use one hand to interpret the information, while the other hand guided or controlled exploration. This could be observed with non-technical aids such as Braille or raised paper diagrams, or with dynamic displays such as the use of 
cursor keys for controlling a refreshable Braille display",,None,None,None,,,,
None,https://doi.org/10.1145/1124772.1124941,#79,Feeling what you hear: Tactile feedback for navigation of audio graphs,Tactile charts navigation should not be dependent on keyboard shortcuts because of its cognitive load on users ,6,NONE,None,Screen readers already provide users with keyboard navigation pattern. Additional keyboard shortcuts in visualization will cause more cognitive burden on users. This guideline reommends that other keyboard shortcuts should not be added to visualizations.,"The use of shortcut keys should be avoided. Many 
users will already be employing a screen reader that 
relies extensively on the keyboard for navigation",,None,None,None,,,,
None,https://doi.org/10.1145/1124772.1124941,#80,Feeling what you hear: Tactile feedback for navigation of audio graphs,Tactile charts should use speech interaction to provide precise information to users ,6,NONE,None,Tactile charts should use speech to communicate precise information about visualizations ,"Audio should be used where appropriate, in order to provide information in a manner that does not clutter the tactile representation, for example, speech or non-speech audio could be used to replace texture cues to allow discrimination between different bars. Synthetic speech is good for providing precise information regarding the data, and most visually impaired people are very efficient at interpreting it due to the extensive use of screen readers",,None,None,None,,,,
None,https://doi.org/10.1145/1182475.1182477,#81,Tac-tiles: Multimodal pie charts for visually impaired users,Tactile graphics should use grooves compared to relief to explore data points quickly and locate data elements accurately,8,NONE,None,Users will want to navigate through data accurately. This guideline recommends that tactile users are provided with grooves rather than reliefs to consistently navigate through data and get an accurate interpretation of them. Because reliefs will require the use of pen which users are required to hold firm everytime they interact with data,"Use grooves rather than a relief to constrain exploration: While the tangible relief was useful, the users had problems holding the pen steady, especially when clicking the button to access speech. A groove that the tip of the pen slipped into would constrain the user to a circular track, affording them quicker and more stable exploration",,None,None,None,,,,
None,https://doi.org/10.1145/1182475.1182477,#82,Tac-tiles: Multimodal pie charts for visually impaired users,Tactile pie charts should provide users with umambiguous speech responses on data proportions and option to expand on proportions to minimize error rates,8,NONE,None,Tactile users of pie charts will like audio feedback that is not  bogus and unambiguous. This guideline recommends that tactile users should be given proportion based information with an option to explore details about this proportion.,"Use clear and concise speech to deliver detailed information on demand: The speech information is so fundamental to blind users that they will rapidly identify any short-comings. Problems with speech clarity can undermine the performance of a system as a whole. Clarity of speech was responsible for at least 44% of the erroneous responses given to questions. The speech should not deliver too much
information, as this could distract the user and overload working memory. As such, the user should be able to cancel the speech on demand. In the case of pie charts, listening to the value and the proportion was quite demanding for the users. Future versions of the system will give proportion information only, as this is the essence of the pie chart representation. The user could request the additional information on exact value, or instead switch to a bar chart representation.",,None,None,None,,,,
None,https://doi.org/10.1007/3-540-45491-8_99,#83,Evaluation of long descriptions of statistical graphics for blind and low vision web users,Visualization narrative for line chart should follow the order for accurate interpretation of data: type of graph; describe the horizontal axis; describe the vertical axis; describe labels; describe units; describe range of data: minimum to maximum; describe line; describe coordinates; state how the line is curved (Describe for each line in multi-line charts),545,NONE,None,"Users of visualizations will require narratives that is based on the visualization's context rather than creators' context. This guideline recommends the following order for narratives to be easily interpreted: type of graph; describe the horizontal axis; describe the vertical axis; describe labels; describe units; describe range of data: minimum to maximum; describe line; describe coordinates; state how the line is curved (Describe for each line in multi-line charts). For example, The line graph shows the number of hours of daylight in Seattle, WA, USA, from January to December. The x-axis is labeled ""Month"" and the y-axis is labeled ""Hours of Daylight."" The range of numbers on the x-axis is 1-12, and the range of numbers on the y-axis is 0-16. The line starts at (1,0) in the bottom left corner and rises slightly to (2,2). It then declines moderately to (3,4) and rises slightly to (4,6). The line then curves slightly upward to (5,8) and (6,10). It then declines moderately to (7,12) and rises slightly to (8,14). The line then curves moderately upward to (9,16) and (10,14). It then declines moderately to (11,12) and (12,10), reaching the end of the line at (12,10) in the top right corner.","State that it is a line graph. Describe axes, horizontal then vertical, with labels and units. Include the range of numbers for each axis. To describe the line, state the starting point, then direction and pitch to next point (e.g.rises slightly, declines moderately), then state the coordinates and repeat until the end of the line is reached. If the line is curved, state so in the description. For example, “curves slightly upward” or “curves moderately downward”. If there are no points on the line, estimate points that are near major tick-marks, and describe trends in between. For multiple lines on one set of axes, describe each line individually, but if the lines cross at any points, state so in the description.
",,None,None,None,,,,
None,https://doi.org/10.1145/638249.638261,#84,Multimodal Virtual Reality versus Printed Medium in Visualization for Blind People,Multimodal charts should use haptic mode for users to navigate quickly through visualizations,7,NONE,None,Visualization users will like to navigate quickly through visualizations to understand data in summary or detailed form depending on different contexts for which they explore data. This guideline recommends providing users with multimodal systems (haptic and speech). The haptic-based system will support them to quickly navigate through data while the speech feedback will give them details about the data.,"A well-designed system will make full use of the complementary effect of the multimodality so that strengths of each modality will be amplified and limitations will be alleviated. Based on the experimental findings, haptics is suitable for navigation and guidance type of tasks, whereas speech and non-speech audio can be used to present detailed and abstract information...Most participants use haptics as a navigation tool which guides them entering and leaving the bars. Although they can use it to determine the height of the bars, they did not use it in this way.",,None,None,None,,,,
None,https://doi.org/10.1007/3-540-44589-7_5,#85,Haptic graphs for blind computer users,Haptic systems should not use gridlines because they don't provide accurate interpretation of data,105,NONE,None,Users navigate through visualizations to get interpretations. Sometimes they want to extract estimated data values and other times they want the actual data values. The guideline proposes that gridlines should not be used if the purpose of the visualization is to get exact values in order not to mislead them.,"Gridlines provide an aid to find the values on a haptic graph. However, the experiment results showed that they were not very effective and not every participant could use them easily. There are four fundamental problems associated with this kind of haptic gridlines. First of all, the uneven surface caused by the raised gridlines may distract users from searching the data lines. Secondly, gridlines are often overlapped by data lines and thus become very difficult to count. Thirdly, they only provide approximate values which are not so useful when exact 
values are required. Finally, it is very time consuming to count the gridlines because users need to remember the counted numbers in cases of comparing different points on",,None,None,None,,,,
