APA Citation,DOI,Title,Author,Year Published,Study Design,Research Method,Summary/Notes,Implications,Further Research Opportunities?,Keywords,Outcome Measures,Study Location,Parents Pertain,Students Pertain,Teachers Pertain,Study Focus
"Galperin. H., Bar. F., Le. A. M., Daum. K. (2020). COVID-19 and the Distance Learning Gap. Connected Cities and Inclusive Growth Policy Briefs. USC Annenberg Research Network on International Communication https://arnicusc.org/covid-19-and-the-distance-learning-gap/",None,COVID-19 and the Distance Learning Gap. Connected Cities and Inclusive Growth Policy Briefs,"Galperin. H., Bar. F., Le. A. M., Daum. K. (2020)",2020,"Policy breif, Organization report, Descriptive","Secondary analysis, Modeling, Modeling","This paper examines the availability of distance learning resources for households with K-12 students in LA County (as measured by a laptop/desktop and a residential connection). The data is from American Community Survey (ACS) for 2018.

A multivariate regression model was used to predict whether K-12 students have the resources for distance learning based on income and student race/ethnicity || The findings indicate that, regardless of income, Black and Hispanic K-12 students are significantly less likely to live in households equipped with technology resources for distance learning. Interpreting the results in odds ratios, the chances of a Hispanic student having residential broadband and a desktop or laptop computer at home are only about half of those of a non-Hispanic student. Similarly, the odds of a Black student having the resources for distance learning are about 65% of a non-Black student, regardless of income or location.","Plotting of access via PUMAs (geographical areas defined by the Census Bureau w/ at least 100,000 residents) - made for a striking representation

Brief mentions that certain communities have been bypassed for investments in new broadband infrastructure, leaving families most in need with fewer and lower quality options for Internet",N/A,"Income, Household, Student, Figure, Households, Communication, Broadband, Learning, Research, Community","Access to digital device, Digital divide, Digital learnig",US (Los Angeles),,Check,,Students
"Gan, I & Sun, R. (2021). Digital Divide and Digital Barriers in Distance Education During COVID-19. Proceedings of the 54th Hawaii International Conference on System Sciences. http://hdl.handle.net/10125/71205, DOI:10.24251/HICSS.2021.587",10.24251/HICSS.2021.587,Digital Divide and Digital Barriers in Distance Education During COVID-19.,"Gan, I & Sun, R",2021,Exploratory,Survey,"The survey results were gathered from university students, many of whom came from low-income backgrounds and minority ethnic groups. 

The authors found that gender differences in Internet use suggested that males use the internet more for entertainment, females more for communication. The most frequently cited barrier was slow internet, followed by general technical issues, then lack of resources, then skill deficiencies.","Distribution of digital divide implications according to gender, income level, ethnicity, etc.","This survey was given in the first two weeks of distance learning (late March 2020), would results be different if it was a longitudinal study?","Implications, Digital divide, Distance learning","Digital divide, Digital learnig, Digital literacy and skill, Digital resources",US (Hawaii),,,,
"Gao, X., & Xue, H. (2021). Family Background, Parent Involvement, and Shadow Education Participation of Middle School Students: Empirical Analysis from CEPS2015 Data. Best Evidence in Chinese Education, 7(1), 893–905. https://doi.org/10.15354/bece.21.ar004",10.15354/bece.21.ar004,"Family Background, Parent Involvement, and Shadow Education Participation of Middle School Students: Empirical Analysis from CEP2015 Data.","Gao, X., & Xue, H.",2021,Correlational,Secondary analysis,"Using the 2015 data of the China Education Panel Survey, the study explores the relationship between socioeconomic background, parent involvement, and achievement; How does socioeconomic background influence 'shadow education' -- extracurricular tutoring.
The result shows a positive correlation between parents' educational background, parent occupation status, parent financial status, and student participation in extracurricular tutoring.","""Parent involvement is a powerful driving force for students to participate in shadow education, and the active participation of parents strengthens the participation in shadow education.""
""Parent involvement plays a part in an intermediary role in the influence of family socioeconomic background on shadow education participation.""",N/A,"Education, Parent, Family, School, Student, Participation, Tutoring, Tutor, Parent involvement","Educational outcomes, Parents' engagement",China,Check,Check,,"Parents, Students"
"Glassman, Michael. (2020). The internet as a context for participatory action research. Education and Information Technologies, 25(3), 1891–1911. https://doi.org/10.1007/s10639-019-10033-1",10.1007/s10639-019-10033-1,The Internet as a Context for Participatory Action Research. Education and Information Technologies.,"Glassman, Michael",2020,Conceptual,Participatory action research,"The author postulates the Internet in the context of informational revolution and individual agency.

""The Internet offers new, organically derived approaches for developing, sharing, vetting and using information in everyday lives in ways that push against the tides of human history (Dewey 1916), for good and for bad. The Internet takes the guardrails off social experience."" ""These earlier attempts at bending education towards more just societies have had their impact but lacked both urgency and practical means to escape social historical forces that benefit through inertia.""

Education must shift from what students should know to how they should know. Learning to learn using the tools of new digitals and internet. ","It is within education’s purview to teach students to manage and navigate their agency, proactively extending their lives out into the world in productive manners that maintain the integrity of their everyday experience (a difficult balancing act, especially for marginalized and oppressed communities) while maintaining respect for the online lives of others.

How do sparse access and online learning communities exacerbate this problem? How can education make these large-scale shifts to being a driver of agency when these gaps persist?",N/A,"Social, Education, Community, Information, Individual, Online, Technology, User, Activity, Education, Students, Balancing, Internet","Educational outcomes, Self-efficacy, Digital and technology usage, Social inequality",US,,Check,,Students
"Goldfarb, Avi, & Prince, Jeff. (2008). Internet adoption and Usage patterns are different: Implications for the digital divide. Information Economics and Policy, 20(1), 2–15. https://doi.org/10.1016/j.infoecopol.2007.05.001",10.1016/j.infoecopol.2007.05.001,Internet Adoption and Usage Patterns Are Different: Implications for the Digital Divide.,"Goldfarb, Avi, & Prince, Jeff",2008,Correlational,"Secondary analysis, Modeling","The study find that high income people adopt internet more but spend less time on it compared to low income people. 
The study also examine the following possible reasons for this pattern:
(1) low-income people have a lower opportunity cost of leisure time: low income people tend to use inexpensive but time consuming leaisure activities such as chatting online
(2)low-income people find the internet to be more useful than others
(3) low-income people have more leisure time
(4)the low-income people who choose to adopt the internet are those who place a particularly high value on it

""We show that internet adoption and usage follow different patterns. While income and education positively correlate with adoption, they negatively correlate with hours spent online. Given our results, we argue that the most likely explanation for this finding is that low-income individuals spend more time online due to their lower opportunity costs of leisure time. In particular, the pricing structure of the internet, with both fixed connection and near-zero usage fees, leads to a negative correlation between income and time online among those who have connected. We interpret the fact that low-income people are particularly likely to do time-consuming, inexpensive activities online as support for the role of the opportunity cost of leisure time.""","We show that internet adoption and usage follow different patterns. While income and education positively correlate with adoption, they negatively correlate with hours spent online. Given our results, we argue that the most likely explanation for this finding is that low-income individuals spend more time online due to their lower opportunity costs of leisure time. In particular, the pricing structure of the internet, with both fixed connection and near-zero usage fees, leads to a negative correlation between income and time online among those who have connected. We interpret the fact that low-income people are particularly likely to do time-consuming, inexpensive activities online as support for the role of the opportunity cost of leisure time.",N/A,"Usage, Adoption, Internet, Online, Diﬀerences, Income, Household, Uses","Digital and technology usage, Digital divide",US,,,,
"Goolsbee, & Jonathan Guryan. (2006). The Impact of Internet Subsidies in Public Schools. The Review of Economics and Statistics, 88(2), 336–347. https://doi.org/10.1162/rest.88.2.336",10.1162/rest.88.2.336,The Impact of Internet Subsidies in Public Schools.,"Goolsbee, & Jonathan Guryan",2006,"Program evaluation, Descriptive",Secondary analysis,"The paper provides an evaluation of the E-rate program (a program of internet subsidy, government-sponsored, implemented in 1997), increased internet investment. It shows that White and Asian students are less responsive to the subsidy rate. Furthermore, there was no effect of classroom internet found on student performance.","The study was conducted in the early 2000s. Back then, the digital component in classrooms may not be as important as today.",N/A,"School, Subsidy, Rate, Internet, District, Technology, Data, Student, Implementing internt, Performance, Access, Classrooms","Student achievement and performance, Broadband availability and impact",US,,Check,,Students
"Grimes, Arthur, & Townsend, Wilbur. (2018). Effects of (ultra-fast) fibre broadband on student achievement. Information Economics and Policy, 44, 8–15. https://doi.org/10.1016/j.infoecopol.2018.06.001",10.1016/j.infoecopol.2018.06.001,Effects of (ultra-fast) Fibre Broadband on Student Achievement.,"Grimes, Arthur, & Townsend, Wilbur",2018,Quasi-experimental,"Secondary analysis, Difference-in-difference","""We estimate the impact of ultra-fast broadband on schools’ academic performance. We do so through a difference-in-difference study of a new government-promoted fibre broadband network designed to deliver ultra-fast broadband to schools and hospitals. We show that fibre broadband increases primary (elementary) schools’ passing rates in standardised assessments by roughly one percentage point. Estimates are robust to alternative specifications, including controlling for time-varying covariates. We find no evidence that gender, ethnic minorities or students in remote schools benefit disproportionately. However, we find some evidence of a larger benefit within schools having a greater proportion of students from lower socio-economic backgrounds.""
“Overall, our estimates indicate that the availability of fibre broadband seems to have a reliable, small, positive effect on National Standards pass rates. ”

""The difference in results may reflect our focus on schools’ use of UFB as opposed to home use in the Vigdor et al. (2014) study.""

Limitation: internal mechanism unknown, could be complementary teaching strategy or cost-effective learning tasks or others",Broadband access slightly increased national standards pass rate by about 1%. There is a positive effect of broadband but very small.,N/A,"School, Effect, Student, Estimate, ﬁber broadband, Difference, Availability","Student achievement and performance, Broadband availability and impact",New Zealand,,Check,,Students
"Hampton, K. N., Fernandez, L., Robertson, C. T., & Bauer, J. M. (2020). Broadband and Student Performance Gaps. James H. and Mary B. Quello Center, Michigan State University.  https://doi.org/10.25335/BZGY-3V91",10.25335/BZGY-3V91,Broadband and Student Performance Gaps.,"Hampton, K. N., Fernandez, L., Robertson, C. T., & Bauer, J. M",2020,Organization report,"Survey, Secondary analysis","The study was conducted in predominantly rural Michigan school districts (15 districts). The data was collected from students in grades 8-11 through three methods: 1) a paper survey 2) standardized test scores (PSAT and SAT) 3) home Internet speed tests.

Findings: middle and high school students with high-speed Internet access at home acquire more digital skills, higher grades, perform better on standardized tests (regardless of socioeconomic status). Digital deficits contribute to lower student interest in STEM/STEAM careers and in pursuing college. Students on free/reduced lunch were 25% less likely to have fast Internet access from home and were twice as likely to rely on cell phones only for access

'Homework gap' - lack of Internet/device access contributed to students failing to complete assignments

Students with access continued activity outside of school (checking grades, working with peers, email teachers).

Students with slower speeds were largely unable to participate in activities that require high bandwidth such as video chat, research.

Demographic indicators of GPA (i.e., students with parents with more formal education score higher, students from low-income households score lower).","Evidence of a digital divide manifesting in educational achievement (as measured by test scores and GPA)

Access to internet determines one’s digital literacy, which has massive implications for career readiness, outside of education

Significance of demographic indicators (parental education/income) as determinants of achievement

Internet capacity / bandwidth as an important measure of student capabilities in online learning",N/A,"Student, Michigan, School, Education, Access, Broadband, Internet, Skill, Data, Education, Internet, Readiness, Digital divide","Student achievement and performance, Broadband availability and impact, Digital and technology usage, Access to digital device",US (Michigan),,Check,,Students
"Helsper, E.J., van Deursen, A.J.A.M. & Eynon, R. (2015). Tangible Outcomes of Internet Use. From Digital Skills to Tangible Outcomes project report. The London School of Economics. Available at: www.oii.ox.ac.uk/research/projects/?id=112.",None,Tangible Outcomes of Internet Use. From Digital Skills to Tangible Outcomes Project Report,"Helsper, E.J., van Deursen, A.J.A.M. & Eynon, R.",2015,"Experimental, Organization report","Mixed method, Survey, Interview, Modeling, Systematic review","Specifically, this study utilized cognitive Interview and surveys to model users' reported tangible outcomes with Internet use. The authors try to go beyond looking at usage as a proxy measure for different outcomes and gauge real, experienced results. Their survey dynamic combines measures of achievement (i.e., did you take part in this activity) and satisfaction (how satisfying was the activity). The survey features category items related to economic, cultural, social, and individual well-being. Of particular note are their measures of personal development (self-actualization of personal interests, leisure activities, etc.), bifurcated with educational outcomes. The authors' stated goal was to design a model that would allow future researchers/evaluators to understand the 'unintended benefits' of Internet access and digital engagement.

One outcome does not necessarily mean that another outcome is achieved (i.e., educational success does not always mean economic success w/ Internet use)

those who engage successfully with the cultural and social aspects of the Internet do not automatically accrue economic or individual outcomes (such as health and self-actualisation)

Activity does not equal satisfaction.",Ths paper includes implications for measuring which individuals/groups get the most tangible outcomes from Internet use. It is also important to measure attitudes and opinions in addition to usage.,N/A,"Digital, Exclusion, Communication, Measurement, Use, Separate quantity, Outcomes","Tangible outcomes, Social inequality, Broadband availability and impact",Netherlands,,,,
"Helsper, Ellen Johanna. (2012). A Corresponding Fields Model for the Links Between Social and Digital Exclusion. Communication Theory, 22(4), 403–426. https://doi.org/10.1111/j.1468-2885.2012.01416.x",10.1111/j.1468-2885.2012.01416.x,A Corresponding Fields Model for the Links Between Social and Digital Exclusion.,"Helsper, Ellen Johanna",2012,Conceptual,Modeling,"The paper opeartionalized digital divide in terms of four social resrouces ""social, cultural, economic, and personal resources"" and three social impact ""access, skills, and attitude"". But precise operational definition depends on context. Some other researchers argue that as long as people are using ICT, what the do with ICT is not our concerns.

The paper emphasize on categorizing different digital resources and digital exclusion. Online and offline exclusin mediates (instead of indicators) each other and correspond to resources. and resources in offline will most likely influence the corresponding resources online. ""A consequence of the corresponding fields model is that, even if an individual
engages with a certain digital field and thus benefits from this, those with more resources still take more advantage of the same type of uses."" Social exclusion also include personal motivation and agency

Access: Any operationalization of access to ICTs should go beyond having some kind of access somewhere incorporating aspects like quality, mobility, and ubiquity.
Skills: Any operationalization of access to ICTs should go beyond having some kind of access somewhere incorporating aspects like quality, mobility, and ubiquity. Basic access to and use of ICTs might be more strongly associated with general self-efficacy
Attitude: should probably include opinions about the availability, appropriateness, and regulation of content, as well as attitudes about effects of problematic content such asviolence, sexual, political, and commercial content on vulnerable groups or society
in general

Some researchers argue that we should incorporate people's own understanidng of what it means by ""inclusion"" but this paper examines objectively what they actually do in the four fields of digital inclusion once access, skills and attitudes have been accounted for.

the authors gave some examples: the impact of broadband may not be on performance (economic field) but on self-esteem (personal field). those who use social networking apps are the ones most likely to increase offline social resources. 

an application of the framework is used in Oxford Internet Institute (OII) Digital Inclusion: An Analysis of Social Disadvantage and the Information Society",The paper provides abundant discussion on how to operationalize digital divide.,N/A,"Outcomes, Online, Social, Socialization, Scale, Satisfaction, Use, Difference, Achievement",Digital divide,"UK,  US",,,,
"Hensley, Melissa Hope Miniard. (2011). Relationships Between Teacher Attendance and Student Scores on the Tennessee Comprehensive Assessment Program Achievement Test in East Tennessee. [Dissertation] ProQuest Dissertations Publishing.",None,Relationships Between Teacher Attendance and Student Scores on the Tennessee Comprehensive Assessment Program Achievement Test in East Tennessee.,"Hensley, Melissa Hope Miniard",2011,"Correlational, Thesis/Dissertation","Mixed method, Survey, Interview, Secondary analysis, Documentaion, Focus group","""The purpose of this study was to analyze the relationships between
teacher attendance in the third, fourth, and fifth grades and student test scores
on the Tennessee Comprehensive Assessment Program tests administered
annually each spring in Tennessee. It also examined teacher and administrator
perceptions about teacher attendance. Teacher absenteeism, coupled with the
lack of conclusive evidence of the relationship between teacher absences and
student achievement, emphasizes the need for this study.""",N/A,1,"Teacher, School, Student, Education, Tennessee, Test, Score, Attendance, No child left behind (nclb), Race",Student achievement and performance,US (Tennessee),,Check,Check,"Students, Teachers"
"Herrera, N. (2020). Inherited digital divide: How does parents' education influence the way in which their offspring employ the internet for their own benefit? [Master’s thesis, Eindhoven University of Technology.] https://pure.tue.nl/ws/portalfiles/portal/163402016/MSc_thesis_report_Arrazola_Herrera.pdf.",None,Inherited Digital Divide: How Does Parents' Education Influence the Way in Which Their Offspring Employ the Internet for Their Own Benefit?,"Herrera, N",2020,"Descriptive, Thesis/Dissertation",Interview,"The paper explores how parental influence and education level impact digital skills in children (enhancing social and human capital).

In the article, there are three defined levels of digital divide 1) access/availability 2) requisite skills 3) differences in outcomes of Internet use.

Interview covering topics of internet equipment/connection, computer skills, demographic data, dependent variables of human capital (using the Internet to obtain information and grow personally/professionally/academically and social capital (using the Internet to socialize). Interpreted using polychronic factor analysis (listing clusters of high correlation). Similar to bivariate analysis

Parent education has a positive correlation to human capital results for children, as well as Internet skills in children, better Internet skills correlated to positive human capital results, parents who were highly educated were more likely to own/provide reliable devices in the home","While investigating targeted users' internet usage behavior, it is interesting to include/focus on characteristics of nearby 'non-users' like parents (SES, education) to see what impacts they bring to the targeted users. 

Were outcomes measured sufficiently? Is engaging in human capital activities akin to outcomes?",This research focused on a developing country. Are the results similar for developed nations?,"Internet, Parent, Divide, Education, Social, Skills","Digital and technology usage, Digital literacy and skill, Social inequality, Digital divide",Mexico,Check,,,Parents
"Hood, S., Hopson, R., & Kirkhart, K. E. (2015). Culturally Responsive Evaluation. In K. E. Newcomer, H. P. Hatry, & J. S. Wholey (Eds.), Handbook of Practical Program Evaluation (4 ed., pp. 281-317). Jossey-Bass Inc.. https://doi.org/10.1002/9781119171386.ch12",10.1002/9781119171386.ch12,Culturally Responsive Evaluation,"Hood, S., Hopson, R., & Kirkhart, K. E.",2015,"Book, Program evaluation",N/A,N/A,N/A,N/A,"Evaluation, Evaluators, Culturally, Culture, Cultural, , Schooling, School, Validity, Validation, Program, Community, Practical",N/A,US,,,,
"Jackson, Linda A, Eye, Alexander von, Biocca, Frank A, Barbatsis, Gretchen, Zhao, Yong, & Fitzgerald, Hiram E. (2006). Does Home Internet Use Influence the Academic Performance of Low-Income Children? Developmental Psychology, 42(3), 429–435. https://doi.org/10.1037/0012-1649.42.3.429",10.1037/0012-1649.42.3.429,Does Home Internet Use Influence the Academic Performance of Low-Income Children?,"Jackson, Linda A, Eye, Alexander von, Biocca, Frank A, Barbatsis, Gretchen, Zhao, Yong, & Fitzgerald, Hiram E",2006,Longitudinal,Secondary analysis,"The paper shows that ""children who used the Internet more had higher GPAs after 1 year and higher scores on standardized tests of reading achievement after 6 months than did children who used it less. Moreover, the benefits of Internet use on academic performance continued throughout the project period. Children who used the Internet more during the last 4 months of the project had higher GPAs and standardized test scores in reading than did children who used it less.""",Evidence that home Internet use benefits the academic performance of children as young as age 10 so that early home access for all children may be critical to leveling the educational playing field.,Systematic research is needed to examine whether cultural characteristics and technology design interact to influence technology use and enjoyment. ,"Home, Internet use benefits, Academic achievement, Technology","Student achievement and performance, Digital and technology usage, Broadband availability and impact",US,,,,
"Jacob, Brian, Berger, Dan, Hart, Cassandra, & Loeb, Susnna. (2016). Can Technology Help Promote Equality of Educational Opportunities? RSF : Russell Sage Foundation. Journal of the Social Sciences, 2(5), 242–271. https://doi.org/10.7758/rsf.2016.2.5.12",10.7758/rsf.2016.2.5.12,Can Technology Help Promote Equality of Educational Opportunities?,"Jacob, Brian, Berger, Dan, Hart, Cassandra, & Loeb, Susnna",2016,Descriptive,Secondary analysis,"The study examined students' online classes taking bahevior in Florida. The findings show that privileged students tend to take online courses, but disadvantaged students benefit more from taking online courses.",Some positive impacts of taking online classes only emerge after a year-long internet use.,N/A,"Educational technology, Online learning, Virtual schooling","Student achievement and performance, Digital divide, Social inequality, Educational outcomes",US (Florida),,,,
"Jameson, J. M., Stegenga, S. M., Ryan, J., & Green, A. (2020). Free Appropriate Public Education in the Time of COVID-19. Rural Special Education Quarterly, 39(4), 181–192. https://doi.org/10.1177/8756870520959659",10.1177/8756870520959659,Free Appropriate Public Education in the Time of COVID-19.,"Jameson, J. M., Stegenga, S. M., Ryan, J., & Green, A.",2020,Policy breif,N/A,"The paper connects COVID circumstances to schools' requirements for FAPE and IDEA provisions. A good strategy is to survey families to determine schools' adherence to COVID. Significant instructional responsibilities fell to families with school closures, compounded by spotty Internet access in certain areas.","Opptunities for survey items: family perspective on their need to take on instructional role during COVID.
Implications for students with disabilities distinct from those without.",More studies looking at impact on students with disabilities.,"Education, Services, Schools, Student, Families, Perspective, Instructional role, Opportunity",Policy implications,US,,Check,,Students
"Jin, Yi, & Schmidt-Crawford, Denise A. (2017). Parents' Perceptions of the First-Year Implementation of a One-to-One Laptop Initiative in a Midwestern High School. Computers in the Schools, 34(1-2), 73–87. https://doi.org/10.1080/07380569.2017.1293470",10.1080/07380569.2017.1293470,Parents' Perceptions of the FirstYear Implementation of a One-to-One Laptop Initiative in a Midwestern High School,"Jin, Yi, & Schmidt-Crawford, Denise A",2017,Experimental,"Mixed method, Survey","Parental involvement may be a crucial factor that affects student tech use and their engagement at school. The more parents are involved, the more academically engaged students are in coursework.

In this study, parents expressed positive perceptions of the computing program overall. They indicated that the school should provide additional resources to help parents/students use the devices more effectively at home. In addition, parents felt that they were more invested in the school engagement of their children.

","“This study lends insights into the perceptions of a major stakeholder group, the parents, on a one-to-one laptop initiative. This group has typically been ignored when planning and implementing one-to-one programs. This discussion focuses on three main findings: (a) acknowledging and addressing parent concerns, (b) parents’ need for education and support, and (c) better communication and collaboration among stakeholders.”",N/A,"Parents, Student, Schools, Education, Technology, Laptop, Teacher, Perception","Parents' attitude and perception, Access to digital device, Educational outcomes",US,Check,Check,Check,"Parents, Students, Teachers"
"Katz, Sherri Jean, Lee, Theodore, & Byrne, Sahara. (2015). Predicting Parent-Child Differences in Perceptions of How Children Use the Internet for Help With Homework, Identity Development, and Health Information. Journal of Broadcasting & Electronic Media, 59(4), 574–602. https://doi.org/10.1080/08838151.2015.1093479",10.1080/08838151.2015.1093479,"Predicting Parent-Child Differences in Perceptions of How Children Use the Internet for Help With Homework, Identity Development, and Health Information.","Katz, Sherri Jean, Lee, Theodore, & Byrne, Sahara",2015,Correlational,Survey,"The samples are mainly female Caucasian mothers. Parents generally overestimate the frequency and positive effect of online activties on students (homework, identity development, health info) , the more trust parents put on students, the more they underestimate.","arent-child relational factors emerged as predictors of parental overestimation for each of these online activities, with trust perceptions as the most consistent predictor. Parental attitudes toward the Internet predicted parent-child differences in perceptions of how frequently the child used the Internet for help with homework and identity development, while the bioecology of the child was only predictive in the case of using the Internet for help with homework",N/A,"Parent, Online, Child, Internet","Parents' attitude and perception, Digital and technology usage, Student achievement and performance, Health",US,Check,,,Parents
"Katz, V., Rideout, V. (2021). Learning at Home While Under-connected Lower-Income Families During the Covid-19 Pandemic. New America. Retreived from https://www.newamerica.org/education-policy/reports/learning-at-home-while-underconnected/",None,Learning at Home While Under-connected Lower-Income Families During the Covid-19 Pandemic,"Katz, V., Rideout, V.",2021,"Descriptive, Organization report",Survey,"This report focuses on the following aspects:
Access to computers and home internet service
Educational disruptions that occurred due to insufficient access
Assets that parents gained by having to guide their children’s remote learning, which educators can build on going forward
Parents’ priorities for their children’s return to school in September 2021
The role of informal educational media2 in helping children to continue to learn and grow during the pandemic
Whether and how early childhood reading patterns changed during COVID
How parents, children, and siblings engaged technology to learn together at home

Abundant details are included in the report. ",N/A,N/A,"Digital learning, Digital device, Covid-19, Remote learning, Perception, Access, Technology","Access to digital device, Parents' attitude and perception, Digital and technology usage",US,,,,
"Kelley, B. & Sisneros, L (2020). Broadband Access and the Digital Divides. Education Commission of the States. https://files.eric.ed.gov/fulltext/ED610063.pdf.",None,Broadband Access and the Digital Divides.,"Kelley, B. & Sisneros, L.",2020,Policy breif,N/A,"""This Policy Brief will introduce three unique digital divides that may prompt different policy solutions: divides caused by an absence of availability of local broadband infrastructure, the lack of affordability of an adequate internet subscription and unequal access to devices that can adequately connect to the internet. The brief also provides an overview of the impact on students when they are not able to access the internet, a summary of the scope of these digital divides and policy solutions worth consideration for each of the three digital divides""

Digital Divide 1: Absence of Availability -- problem of infrasturcutre, mostly affecting rural/remote communities

Digital Divide 2: Lack of Affordability -- a commonly cited reason for lack of access is its cost. Supporting remote learning applications requires a strong connection

Digital Divide 3: Unequal Access to Devices -- 3.6 million households do not have access to a laptop, desktop, or tablet to connect to the internet","Digital Divide 1 -- orchestrate policy initiatives to incentivize expansion of internet access

Digital Divide 2 -- consider public-private partnerships to bridge the affordability divide, states using stimulus funds to tackle connectivity issues

Digital Divide 3 -- states making available reliable devices for all K-12 students",N/A,"Education, Students, States, Broadband, Internet, Policy, Access, Accessibility, Including, Connection, Divide, Digital","Broadband availability and impact, Digital divide, Social inequality",US,,Check,,Students
"KewalRamani, A., Zhang, J., Wang, X., Rathbun, A., Corcoran, L., Diliberti, M., and Zhang, J. (2018). StudentAccess to Digital Learning Resources Outside of the Classroom (NCES 2017-098). U.S. Department of Education.Washington, DC: National Center for Education Statistics. Retrieved from https://nces.ed.gov/pubsearch/pubsinfo.asp?pubid=2017098.",None,Student Access to Digital Learning Resources Outside of the Classroom.,"KewalRamani, A., Zhang, J., Wang, X., Rathbun, A., Corcoran, L., Diliberti, M., and Zhang, J.",2018,Organization report,N/A,"""A higher percentage of students in suburban areas had fixed broadband access at home than students in rural areas, with the largest difference noted for students in remote rural areas. For example, the percentage of students in remote rural (65 percent) and distant rural areas (66 percent) with fixed broadband access was lower than in other locales, with percentages ranging from 70 percent in distant towns to 85 percent in large suburbs. In contrast, the percentage of students with either no internet access or only dial-up access at home was higher for those living in remote rural areas (18 percent) than for those living in all other detailed locale types, with the percentages ranging from 7 percent in large suburbs to 16 percent in distant rural areas.""

""Within locale types, there were additional gaps among students of different poverty levels and racial/ethnic groups. For example, in remote rural areas the percentages of students who had either no internet access or only dial-up access at home were higher for Black (41 percent) and Hispanic students (26 percent) than for White (13 percent) and Asian students (11 percent).""

""Teaching practices → a study conducted with 36 elementary and secondary school teachers who created course websites found that contextual barriers, including teacher perceptions that students could not access the Internet from home, resulted in the majority of teachers not using such websites on a regular basis""

A lot more content in the report. ","Good outline of demographic factors that contribute to Internet access

Mentions of teacher perspectives in accommodating students who may not have reliable Internet",N/A,"Student, School, Including, Outline, Demographic, Internet, Access","Access to digital device, Digital and technology usage, Social inequality, Student achievement and performance",US,,Check,,Students
"Kösterelioğlu, İlker. (2018). Effects of Parenting Style on Students' Achievement Goal Orientation: A Study on High School Students. Educational Policy Analysis and Strategic Research, 13(4), 91–107. https://doi.org/10.29329/epasr.2018.178.5",10.29329/epasr.2018.178.5,Effects of Parenting Style on Student Achievement Goal Orientation: A Study on High School Students,"Kösterelioğlu, İlker",2018,Correlational,Scale measurement,"This study determines the effect of parenting style on academic goal setting... classifies parent attitudes as either democratic, authoriatarian, permissive, apathetic, overprotective.

Separates student goal setting into 2 categories: performance goals (being successful, judged as successful, extrinstic motivation) and learning goals (instrinsic motivation, inspired by the learning process)

Results: democratic and overprotective parenting styles have the strongest impact on learning approach orientation. Overprotective and premissive parenting styles had the strongest correlation with learning AVOIDANCE","Parenting styles have important effects on how students perceive of their academic goals and calibrate their motivation

","Can this parenting style conclusion be applied to working with technology (i.e., how rules are set, how strict parents are)?","Students, Academic achievement, Online, Knowledge, Style conclusion, Parenting style, Achievement, Achievement, High school students","Parents' attitude and perception, Student achievement and performance",Turkey,,Check,,Students
"Kuusimäki, Anne-Mari, Uusitalo-Malmivaara, Lotta, & Tirri, Kirsi. (2019). Parents’ and Teachers’ Views on Digital Communication in Finland. Education Research International, 2019, 1–7. https://doi.org/10.1155/2019/8236786",10.1155/2019/8236786,Parents’ and Teachers’ Views on Digital Communication in Finland.,"Kuusimäki, Anne-Mari, Uusitalo-Malmivaara, Lotta, & Tirri, Kirsi",2019,Correlational,Scale measurement,"Three elements of digital communication：(1) clarity and readability, (2) informativity, frequency, and effectivity, and (3) quality.

Parents and teachers are generally satisfied with their digital communication, supporting the partnership in children's education. Rural parents and teachers saw digital communication as serving the partnership better than urban teachers. 

""In particular, rural parents seemed satisfied with digital communication as a partnership-building tool. However, the view of parents was that they received less encouraging feedback about their children than teachers believed they had given. On the other hand, teachers experienced more ambiguity in digital communication than parents. .is was more salient among urban teachers than among rural teachers. To summarize, rural parents and rural teachers saw digital communication as serving their collaboration better than did their urban peers. .e results of the current study can be used for further development of parent-teacher communication in digital environments.""",A potential useful digital communication scale is provided.,N/A,"Parent, Teachers, Education, Communication, Communication, School, Digital, Feedback","Parents' engagement, Digital and technology usage",Finnland,Check,,Check,"Parents, Teachers"
"Lambert, Sarah R. (2020). Do MOOCs contribute to student equity and social inclusion? A systematic review 2014–18. Computers and Education, 145, 103693. https://doi.org/10.1016/j.compedu.2019.103693",10.1016/j.compedu.2019.103693,Do MOOCs Contribute to Student Equity and Social Inclusion? A Systematic Review,"Lambert, Sarah R",2020,Systematic review,Systematic review,"Massive online open courses (MOOCs)
 
Student equity: fairer access and outcomes for enrolled and transitioning higher education students.
Social inclusion: welfare policies targeted at unemployed adults who become disenfranchised from mainstream society
 
 ""For student equity programs, support was often provided within a face-to-face classroom or study group setting. The student equity and social inclusion programs were more likely to be phone,  email, or digital facilitation within distance delivery mode. Where fully online programs succeeded, they had a strong teacher presence in the online forums plus other support options such as email, phone or synchronous webinar-style tutorials""
 
 ""While commercial platforms may have changed their ""free to all"" strategy, this study has shown that organizations and educators with a remit or passion for widening participation have instead designed programs with particular disadvantaged communities and cohorts in mind, adopting the MOOC platforms and similar technologies in more developmental, supportive and equitable ways.""",N/A,N/A,"Mooc, Education, Learning, Student","Social inequality, Educational outcomes, Access to digital device",Australia,,Check,,Students
